Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
11,,,no_pay,0,1,VP1,,11,8,8,9,Session,16:12:07.606,1765815127606374900,1765815127606374900,,,
11,,3e0c689e-22ca-4e04-a80e-197b4d5b2eaa,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:12:20.320,1765815140320600500,1765815140320600500,,,
11,9c7d6834-5fda-450c-a967-c27ad2a920fb,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:12:21.020,1765815141020275700,1765815141020275700,,,
11,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,16:12:26.066,1765815146066790000,1765815146066790000,,,
11,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,16:12:26.431,1765815146431723600,1765815146431723600,,,
11,,9c077676-2563-45f5-b498-c9246e010065,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:12:43.506,1765815163506227800,1765815163506227800,,,
11,60c45e3e-9105-4ef3-ad68-015d3a29d5ce,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:12:44.223,1765815164223088700,1765815164223088700,,,
11,09cd361e-9071-44aa-abc3-76ebb6fb0269,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,16:12:46.762,1765815166762372700,1765815166762372700,,,
11,,a27eaef0-960d-4b26-b25e-cb382141a02e,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,16:12:47.860,1765815167860530000,1765815167860530000,,,
11,9632b393-ef57-48b3-a68f-99105fe8b3aa,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,16:12:49.717,1765815169717024100,1765815169717024100,,,
11,,61591b94-6b3a-4801-85e7-e0aec5454418,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,16:12:50.783,1765815170783355000,1765815170783355000,,,
11,024ccb1f-b490-4370-a415-104b23c91dc5,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,16:13:09.561,1765815189561342800,1765815189561342800,,,
11,,7558f868-b404-4f91-9c77-bcc075b16558,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,16:13:14.578,1765815194578191000,1765815194578191000,,,
11,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,16:13:14.773,1765815194773826100,1765815194773826100,VP1,,
11,,fd9f6ea9-059b-4693-9228-b3c2ce361530,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,16:13:20.364,1765815200364883400,1765815200364883400,,,
11,7143ce61-c44e-4cc8-bb49-c8cabe4627be,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,16:13:21.028,1765815201028401700,1765815201028401700,,,
